BUDGET FISCAL YEAR,DEPARTMENT NAME,TOTAL BUDGET
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,000.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,000.00 "
2015,TRANSPORTATION,"$60,000.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,000.00 "
2018,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$60,000.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,000.00 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$60,005.46 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$60,035.33 "
2015,TRANSPORTATION,"$60,090.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$60,093.00 "
2015,PENSION,"$60,100.00 "
2016,TRANSPORTATION,"$60,125.00 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$60,240.50 "
2013,RECREATION AND PARKS,"$60,282.70 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$60,294.19 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$60,296.99 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$60,317.46 "
2012,TRANSPORTATION,"$60,330.41 "
2018,CITY ATTORNEY,"$60,335.67 "
2012,CONTROLLER,"$60,346.00 "
2017,TRANSPORTATION,"$60,362.00 "
2018,TRANSPORTATION,"$60,362.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,408.27 "
2017,RECREATION AND PARKS,"$60,411.77 "
2015,LIBRARY,"$60,423.00 "
2012,RECREATION AND PARKS,"$60,447.72 "
2018,OFFICE OF FINANCE,"$60,455.00 "
2013,GENERAL SERVICES,"$60,500.00 "
2012,COUNCIL,"$60,823.76 "
2016,CULTURAL AFFAIRS,"$60,867.33 "
2014,TRANSPORTATION,"$60,881.63 "
2012,CITY CLERK,"$60,909.00 "
2018,MAYOR,"$60,928.28 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$60,938.69 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$61,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$61,000.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$61,002.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$61,004.84 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$61,065.08 "
2013,CITY ADMINISTRATIVE OFFICER,"$61,100.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$61,100.00 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$61,123.92 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$61,150.00 "
2012,CULTURAL AFFAIRS,"$61,194.74 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$61,200.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$61,200.00 "
2018,MAYOR,"$61,213.00 "
2016,CULTURAL AFFAIRS,"$61,218.04 "
2014,MAYOR,"$61,276.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$61,304.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$61,323.15 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$61,453.00 "
2015,AGING,"$61,458.00 "
2015,TRANSPORTATION,"$61,620.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$61,635.00 "
2017,RECREATION AND PARKS,"$61,745.74 "
2013,MAYOR,"$61,804.00 "
2012,CITY ATTORNEY,"$61,833.85 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$61,915.20 "
2016,NEIGHBORHOOD EMPOWERMENT,"$61,928.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$61,987.74 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$62,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$62,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$62,000.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$62,000.00 "
2017,NEIGHBORHOOD EMPOWERMENT,"$62,000.00 "
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$62,026.05 "
2018,AGING,"$62,052.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$62,096.00 "
2015,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$62,107.40 "
2018,TRANSPORTATION,"$62,108.00 "
2012,COUNCIL,"$62,212.26 "
2013,CITY CLERK,"$62,217.39 "
2018,MAYOR,"$62,230.15 "
2014,MAYOR,"$62,266.89 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$62,304.27 "
2015,BUILDING AND SAFETY,"$62,414.00 "
2014,TRANSPORTATION,"$62,460.51 "
2012,GENERAL SERVICES,"$62,500.00 "
2013,TRANSPORTATION,"$62,500.23 "
2013,MAYOR,"$62,569.08 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$62,605.14 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$62,608.00 "
2013,CITY ADMINISTRATIVE OFFICER,"$62,630.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$62,683.39 "
2015,EMPLOYEE RELATIONS BOARD,"$62,692.00 "
2016,EMPLOYEE RELATIONS BOARD,"$62,692.00 "
2017,EMPLOYEE RELATIONS BOARD,"$62,692.00 "
2018,CITY ATTORNEY,"$62,794.77 "
2013,INFORMATION TECHNOLOGY AGENCY,"$62,803.43 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$62,842.43 "
2012,TRANSPORTATION,"$62,907.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$62,907.00 "
2018,TRANSPORTATION,"$62,911.39 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$62,911.43 "
2017,RECREATION AND PARKS,"$62,923.52 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$63,000.00 "
2018,EMPLOYEE RELATIONS BOARD,"$63,000.00 "
2017,EMPLOYEE RELATIONS BOARD,"$63,000.00 "
2016,EMPLOYEE RELATIONS BOARD,"$63,000.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$63,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$63,000.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$63,000.00 "
2014,AGING,"$63,002.00 "
2012,NEIGHBORHOOD EMPOWERMENT,"$63,002.00 "
2017,CITY ETHICS COMMISSION,"$63,006.00 "
2016,BUILDING AND SAFETY,"$63,010.11 "
2017,TRANSPORTATION,"$63,016.87 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$63,097.00 "
2016,MAYOR,"$63,117.51 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$63,164.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$63,308.70 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$63,311.08 "
2015,TRANSPORTATION,"$63,423.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$63,463.00 "
2017,CITY CLERK,"$63,475.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$63,489.00 "
2012,CULTURAL AFFAIRS,"$63,500.00 "
2015,CITY CLERK,"$63,648.00 "
2015,TRANSPORTATION,"$63,800.00 "
2014,ZOO,"$63,891.00 "
2018,MAYOR,"$63,922.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$63,945.76 "
2012,PENSION,"$64,000.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$64,000.00 "
2014,TRANSPORTATION,"$64,000.00 "
2017,RECREATION AND PARKS,"$64,010.62 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$64,108.08 "
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$64,175.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$64,197.06 "
2013,ANIMAL SERVICES,"$64,210.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$64,229.39 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$64,282.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$64,289.00 "
2018,CONTROLLER,"$64,306.00 "
2015,CONTROLLER,"$64,306.00 "
2013,CONTROLLER,"$64,306.00 "
2014,CONTROLLER,"$64,306.00 "
2017,CONTROLLER,"$64,306.00 "
2016,CONTROLLER,"$64,306.00 "
2012,AGING,"$64,316.00 "
2015,INFORMATION TECHNOLOGY AGENCY,"$64,335.93 "
2018,CITY ATTORNEY,"$64,403.88 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$64,437.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$64,492.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$64,500.00 "
2015,GENERAL SERVICES,"$64,509.00 "
2013,TRANSPORTATION,"$64,553.09 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$64,631.44 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$64,703.49 "
2018,CITY PLANNING,"$64,717.00 "
2014,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$64,763.47 "
2015,CULTURAL AFFAIRS,"$64,804.00 "
2014,INFORMATION TECHNOLOGY AGENCY,"$64,820.00 "
2017,CITY ATTORNEY,"$64,920.00 "
2018,GENERAL SERVICES,"$64,968.00 "
2017,GENERAL SERVICES,"$64,968.00 "
2018,TRANSPORTATION,"$65,000.00 "
2016,NEIGHBORHOOD EMPOWERMENT,"$65,000.00 "
2012,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,"$65,000.00 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$65,000.00 "
2014,TRANSPORTATION,"$65,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$65,000.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$65,000.00 "
2014,COUNCIL,"$65,000.00 "
2016,BUILDING AND SAFETY,"$65,000.00 "
2018,BUILDING AND SAFETY,"$65,000.00 "
2016,CITY CLERK,"$65,000.00 "
2016,CITY CLERK,"$65,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$65,000.00 "
2013,NEIGHBORHOOD EMPOWERMENT,"$65,044.39 "
2013,TRANSPORTATION,"$65,106.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$65,121.87 "
2015,RECREATION AND PARKS,"$65,129.00 "
2012,CITY ADMINISTRATIVE OFFICER,"$65,219.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$65,224.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$65,281.14 "
2012,CITY ADMINISTRATIVE OFFICER,"$65,298.51 "
2017,CITY CLERK,"$65,444.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$65,504.85 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$65,528.00 "
2015,POLICE,"$65,534.14 "
2018,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$65,550.00 "
2015,CITY CLERK,"$65,595.00 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$65,605.14 "
2016,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$65,708.57 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$65,726.67 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$65,731.90 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$65,742.00 "
2015,CITY CLERK,"$65,742.00 "
2014,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$65,756.66 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$65,834.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$65,866.21 "
2013,POLICE,"$65,905.53 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$65,915.00 "
2016,TRANSPORTATION,"$65,918.17 "
2015,TRANSPORTATION,"$65,952.96 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$65,963.00 "
2018,BUILDING AND SAFETY,"$66,000.00 "
2018,TRANSPORTATION,"$66,000.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$66,048.00 "
2017,INFORMATION TECHNOLOGY AGENCY,"$66,050.00 "
2013,EMERGENCY OPERATIONS BOARD,"$66,058.25 "
2018,AGING,"$66,060.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$66,146.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$66,150.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$66,200.00 "
2015,CULTURAL AFFAIRS,"$66,210.88 "
2017,TRANSPORTATION,"$66,245.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$66,250.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$66,260.73 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$66,372.33 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$66,379.00 "
2014,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,"$66,395.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$66,403.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$66,498.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$66,529.00 "
2018,NEIGHBORHOOD EMPOWERMENT,"$66,591.82 "
2018,PUBLIC WORKS - ENGINEERING,"$66,629.00 "
2016,PUBLIC WORKS - ENGINEERING,"$66,629.00 "
2017,PUBLIC WORKS - ENGINEERING,"$66,629.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$66,658.70 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$66,717.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$66,755.75 "
2016,EMERGENCY MANAGEMENT,"$66,827.06 "
2016,CULTURAL AFFAIRS,"$66,871.90 "
2017,CITY ADMINISTRATIVE OFFICER,"$66,882.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$66,908.91 "
2016,MAYOR,"$66,947.73 "
2013,FIRE,"$67,000.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$67,004.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$67,030.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$67,063.00 "
2012,CITY CLERK,"$67,070.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$67,120.30 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$67,150.00 "
2015,COUNCIL,"$67,275.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$67,321.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$67,333.34 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$67,412.00 "
2014,MAYOR,"$67,462.50 "
2016,CULTURAL AFFAIRS,"$67,470.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$67,500.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$67,506.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$67,528.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$67,543.71 "
2016,GENERAL SERVICES,"$67,600.19 "
2013,PUBLIC WORKS - ENGINEERING,"$67,629.00 "
2012,PUBLIC WORKS - ENGINEERING,"$67,629.00 "
2014,PUBLIC WORKS - ENGINEERING,"$67,629.00 "
2015,PUBLIC WORKS - ENGINEERING,"$67,629.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$67,654.41 "
2013,CITY PLANNING,"$67,710.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$67,725.00 "
2012,MAYOR,"$67,755.37 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$67,800.00 "
2013,FIRE,"$67,808.06 "
2016,MAYOR,"$67,846.80 "
2015,ANIMAL SERVICES,"$67,850.00 "
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$67,890.70 "
2015,CITY ADMINISTRATIVE OFFICER,"$67,906.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$67,943.74 "
2017,MAYOR,"$67,978.41 "
2018,PENSION,"$68,000.00 "
2015,POLICE,"$68,000.00 "
2018,ANIMAL SERVICES,"$68,000.00 "
2017,MAYOR,"$68,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$68,020.61 "
2012,CITY CLERK,"$68,034.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$68,074.00 "
2018,NON-DEPARTMENTAL - GENERAL,"$68,108.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$68,111.06 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$68,160.00 "
2015,RECREATION AND PARKS,"$68,191.00 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$68,314.01 "
2015,POLICE,"$68,360.00 "
2016,AGING,"$68,443.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$68,448.59 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$68,448.77 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$68,452.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$68,457.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$68,514.75 "
2014,MAYOR,"$68,555.28 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$68,557.59 "
2013,INFORMATION TECHNOLOGY AGENCY,"$68,572.17 "
2013,TRANSPORTATION,"$68,578.28 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$68,605.10 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$68,666.19 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$68,689.92 "
2015,MAYOR,"$68,788.45 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$68,813.00 "
2014,NEIGHBORHOOD EMPOWERMENT,"$68,826.06 "
2014,ANIMAL SERVICES,"$68,850.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$68,970.28 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$68,970.41 "
2017,NEIGHBORHOOD EMPOWERMENT,"$69,006.35 "
2012,GENERAL SERVICES,"$69,024.61 "
2017,MAYOR,"$69,081.04 "
2016,CITY ADMINISTRATIVE OFFICER,"$69,100.00 "
2018,CULTURAL AFFAIRS,"$69,105.08 "
2018,NON-DEPARTMENTAL - GENERAL,"$69,150.00 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$69,154.28 "
2017,MAYOR,"$69,217.00 "
2014,CULTURAL AFFAIRS,"$69,264.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$69,267.00 "
2014,RECREATION AND PARKS,"$69,333.50 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$69,368.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$69,380.00 "
2018,CITY CLERK,"$69,381.35 "
2017,CITY CLERK,"$69,397.02 "
2013,COUNCIL,"$69,425.07 "
2015,MAYOR,"$69,493.54 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$69,518.00 "
2013,COUNCIL,"$69,621.66 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$69,655.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$69,658.20 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$69,681.21 "
2017,PENSION,"$69,715.00 "
2018,CULTURAL AFFAIRS,"$69,745.01 "
2012,POLICE,"$69,762.50 "
2013,TRANSPORTATION,"$69,778.68 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$69,871.67 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$69,896.49 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$69,898.48 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$69,934.00 "
2018,RECREATION AND PARKS,"$69,953.85 "
2017,CULTURAL AFFAIRS,"$69,960.00 "
2017,RECREATION AND PARKS,"$69,984.58 "
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$69,989.80 "
2018,CITY ADMINISTRATIVE OFFICER,"$69,990.00 "
2018,TRANSPORTATION,"$70,000.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$70,000.00 "
2014,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$70,000.00 "
2018,ZOO,"$70,000.00 "
2012,ZOO,"$70,000.00 "
2012,TRANSPORTATION,"$70,000.00 "
2015,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$70,000.00 "
2014,ZOO,"$70,000.00 "
2015,ZOO,"$70,000.00 "
2015,MAYOR,"$70,000.00 "
2013,ZOO,"$70,000.00 "
2016,TRANSPORTATION,"$70,000.00 "
2015,TRANSPORTATION,"$70,000.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$70,000.00 "
2016,ZOO,"$70,000.00 "
2012,CULTURAL AFFAIRS,"$70,000.00 "
2012,BUILDING AND SAFETY,"$70,000.00 "
2018,CULTURAL AFFAIRS,"$70,000.00 "
2017,ZOO,"$70,000.00 "
2015,CITY CLERK,"$70,000.00 "
2014,CULTURAL AFFAIRS,"$70,000.00 "
2017,CULTURAL AFFAIRS,"$70,000.00 "
2018,CULTURAL AFFAIRS,"$70,000.00 "
2015,CITY ATTORNEY,"$70,000.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$70,000.00 "
2016,FIRE,"$70,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$70,000.00 "
2013,FIRE,"$70,047.79 "
2015,CITY CLERK,"$70,050.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$70,139.37 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$70,217.59 "
2012,NEIGHBORHOOD EMPOWERMENT,"$70,244.06 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$70,322.00 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$70,352.28 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$70,378.65 "
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$70,397.34 "
2013,TRANSPORTATION,"$70,434.48 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$70,492.00 "
2016,CULTURAL AFFAIRS,"$70,500.00 "
2013,CULTURAL AFFAIRS,"$70,500.00 "
2014,CULTURAL AFFAIRS,"$70,500.00 "
2015,CULTURAL AFFAIRS,"$70,500.00 "
2017,CULTURAL AFFAIRS,"$70,500.00 "
2012,FIRE,"$70,511.15 "
2013,GENERAL SERVICES,"$70,536.15 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$70,558.17 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$70,582.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$70,623.00 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$70,633.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$70,691.00 "
2018,FIRE,"$70,786.18 "
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$70,859.68 "
2015,CULTURAL AFFAIRS,"$70,884.16 "
2016,GENERAL SERVICES,"$70,943.00 "
2015,INFORMATION TECHNOLOGY AGENCY,"$70,988.19 "
2012,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$71,000.00 "
2018,TRANSPORTATION,"$71,000.00 "
2017,RECREATION AND PARKS,"$71,033.94 "
2012,NEIGHBORHOOD EMPOWERMENT,"$71,045.50 "
2017,AGING,"$71,102.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$71,119.74 "
2017,GENERAL SERVICES,"$71,152.08 "
2013,ZOO,"$71,164.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$71,198.32 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$71,250.00 "
